"Year","CDU_n","CDU_p","SPD_n","SPD_p","CSU_n","CSU_p","FDP_n","FDP_p","Grün_n","Grün_p","Links_n","Links_p","AfD_n","AfD_p"
"1990","789.609","-","943.402","-","186.198","-","168.217","-","41.316","-","280.882","-","-",""
"1991","751.163","-4,9","919.871","-2,5","184.513","-0,9","140.031","-16,8","38.873","-5,9","172.579","-38,6","-",""
"1992","713.846","-5,0","885.958","-3,7","181.758","-1,5","103.505","-26,1","36.32","-6,6","146.742","-15,0","-",""
"1993","685.343","-4,0","861.48","-2,8","177.289","-2,5","94.197","-9,0","39.761","9,5","131.406","-10,5","-",""
"1994","671.497","-2,0","849.374","-1,4","176.25","-0,6","87.992","-6,6","43.899","10,4","123.751","-5,8","-",""
"1995","657.643","-2,1","817.65","-3,7","179.647","1,9","80.431","-8,6","46.41","5,7","114.94","-7,1","-",""
"1996","645.786","-1,8","792.773","-3,0","178.573","-0,6","75.038","-6,7","48.034","3,5","105.029","-8,6","-",""
"1997","631.7","-2,2","776.183","-2,1","178.457","-0,1","69.621","-7,2","48.98","2,0","98.624","-6,1","-",""
"1998","626.342","-0,8","775.036","-0,1","178.755","0,2","67.897","-2,5","51.812","5,8","94.627","-4,1","-",""
"1999","638.056","1,9","755.066","-2,6","183.569","2,7","64.407","-5,1","49.488","-4,5","88.594","-6,4","-",""
"2000","616.722","-3,3","734.667","-2,7","181.021","-1,4","62.721","-2,6","46.631","-5,8","83.475","-5,8","-",""
"2001","604.135","-2,0","717.513","-2,3","177.661","-1,9","64.063","2,1","44.053","-5,5","77.845","-6,7","-",""
"2002","594.391","-1,6","693.894","-3,3","177.705","0,0","66.56","3,9","43.881","-0,4","70.805","-9,0","-",""
"2003","587.244","-1,2","650.798","-6,2","176.989","-0,4","65.192","-2,1","44.052","0,4","65.753","-7,1","-",""
"2004","579.526","-1,3","605.807","-6,9","172.892","-2,3","64.146","-1,6","44.322","0,6","61.385","-6,6","-",""
"2005","571.881","-1,3","590.485","-2,5","170.117","-1,6","65.022","1,4","45.105","1,8","61.27","-0,2","-",""
"2006","553.896","-3,1","561.239","-5,0","166.928","-1,9","64.88","-0,2","44.677","-0,9","60.338","-1,5","-",""
"2007","536.668","-3,1","539.861","-3,8","166.392","-0,3","64.078","-1,2","44.32","-0,8","71.711","18,8","-",""
"2008","528.972","-1,4","520.97","-3,5","162.232","-2,5","65.6","2,4","45.089","1,7","75.968","5,9","-",""
"2009","521.149","-1,5","512.52","-1,6","159.198","-1,9","72.116","9,9","48.171","6,8","78.046","2,7","-",""
"2010","505.314","-3,0","502.062","-2,0","153.89","-3,3","68.541","-5,0","52.991","10,0","73.658","-5,6","-",""
"2011","489.896","-3,1","489.638","-2,5","150.585","-2,1","63.123","-7,9","59.074","11,5","69.458","-5,7","-",""
"2012","476.347","-2,8","477.037","-2,6","147.965","-1,7","58.675","-7,0","59.653","1,0","63.761","-8,2","-",""
"2013","467.076","-1,9","473.662","-0,7","148.38","0,3","57.263","-2,4","61.359","2,9","63.756","0,0","17.687","-"
"2014","457.488","-2,1","459.902","-2,9","146.536","-1,2","54.967","-4,0","60.329","-1,7","60.551","-5,0","20.728","17,2"
"2015","444.4","-2,9","442.814","-3,7","144.36","-1,5","53.197","-3,2","59.418","-1,5","58.989","-2,6","16.385","-21,0"
"2016","431.92","-2,8","432.706","-2,3","142.412","-1,3","53.896","1,3","61.596","3,7","58.91","-0,1","26.409","61,2"
